time,T_flow_out,bypass_fraction,eflow_in,eflow_out,h,inlet_mdot,inlet_temp_fluid,mass_flow_out,max_Tf,outlet_pressure,plenum_fraction,power,pressure_drop,v_out_normalized_for_SAM
0,0,0,0,0,0,976,873.15,4064.996438599,0,200000,0,236685417.99418,0,0
1,912.16187897865,0.0015889473385597,-1047486797.4716,1105642126.1552,0.13530093377871,508.22295296539,873.39487168528,508.22295355842,900,183687.63407568,0.82256416174619,236685417.99418,-133092.48131258,0.19433450622986
3,908.27614210185,0.0020657300169546,-1324351988.8147,1434694300.342,0.13530093377871,662.29744931771,873.90991595479,662.2974500879,900.00000000002,195889.13354122,0.89677831309635,236685417.99418,-156608.72405711,0.25324957686181
4,905.47111814105,0.0028604201015858,-1314243455.3812,1435419025.3707,0.13530093377871,664.68474494336,874.07290780745,664.68474672268,900.00000000005,193651.81588309,0.90421087210934,236685417.99418,-155299.39483613,0.25416243235071
5,901.72823381473,0.013107335357521,-1427382579.4298,1692971874.4574,0.13530093377871,787.20109833886,874.26739011531,787.20109915221,900,199233.2650526,0.90529141484709,236685417.99418,-162132.4200703,0.30101028660006
7,895.31848568569,0.019452782295985,-1577309548.6336,1912165131.5557,0.13530093377871,895.48735811627,877.07754142817,895.4873592077,899.99999999981,199478.65562196,0.90699615997251,236685417.99418,-171139.44691505,0.34241683215653
11,896.00231974971,0.072774866459063,-1654851109.5741,2095398794.9575,0.13530093377871,980.54870815592,893.58607994537,980.54870936786,904.23509554179,199858.6578064,0.86635108274366,236685417.99418,-166515.88995648,0.37494262692215
19,913.19715989803,0.070913662534428,-1702245916.3428,2160644783.4593,0.13530093377871,992.04286384281,907.85332588149,992.0428650024,944.42290763226,199263.95458307,0.86580478895139,236685417.99418,-166606.75889255,0.37933776697659
35,949.69106440982,0.067943140103634,-1696639212.1101,2252380876.3696,0.13530093377871,994.42285154089,902.29153793826,994.42285267419,1011.5539472056,198555.44116821,0.86368867091711,236685417.99418,-166090.14996936,0.38024782766116
67,983.06975920626,0.06614989526399,-1698977869.6716,2341324936.2376,0.13530093377871,998.59404029313,899.80583100859,998.59404187666,1086.4249569851,197958.71330734,0.86004386002733,236685417.99418,-166221.99409076,0.38184280873861
131,1000.0026671544,0.065931254476837,-1712275489.9554,2382820684.3393,0.13530093377871,999.08357555497,906.3787215475,999.08357610295,1126.2845737298,197585.88714096,0.85753562900474,236685417.99418,-165796.58257643,0.38202999704147
200,1006.5118638068,0.066301984708353,-1715604827.7627,2393071260.5068,0.13530093377871,996.892547195,910.10020865185,996.89254781174,1138.0842152141,197396.33464962,0.85644643719029,236685417.99418,-165257.56849427,0.38119219072413
